OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
76,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,DZA,_T,_T,_T,_Z,_Z,_Z,2008,A,RANK,NA
71,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,DZA,_T,_T,_T,_Z,_Z,_Z,2007,A,YR,NA
71,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,DZA,_T,_T,_T,_Z,_Z,_Z,2007,A,RANK,NA
51.46,602,0,NA,A,PU,NA,NA,NA,NA,TRUE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AGO,_T,_T,_T,_Z,_Z,_Z,2014,A,YR,NA
137,602,0,NA,A,PU,NA,NA,NA,NA,TRUE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AGO,_T,_T,_T,_Z,_Z,_Z,2014,A,RANK,NA
51.06,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AGO,_T,_T,_T,_Z,_Z,_Z,2013,A,YR,NA
141,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AGO,_T,_T,_T,_Z,_Z,_Z,2013,A,RANK,NA
47.55,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AGO,_T,_T,_T,_Z,_Z,_Z,2011,A,YR,NA
138,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AGO,_T,_T,_T,_Z,_Z,_Z,2011,A,RANK,NA
47.04,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AGO,_T,_T,_T,_Z,_Z,_Z,2010,A,YR,NA
135,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AGO,_T,_T,_T,_Z,_Z,_Z,2010,A,RANK,NA
76.33,602,0,NA,A,PU,NA,NA,NA,NA,TRUE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARG,_T,_T,_T,_Z,_Z,_Z,2017,A,YR,NA
51,602,0,NA,A,PU,NA,NA,NA,NA,TRUE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARG,_T,_T,_T,_Z,_Z,_Z,2017,A,RANK,NA
76.16,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARG,_T,_T,_T,_Z,_Z,_Z,2016,A,YR,NA
51,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARG,_T,_T,_T,_Z,_Z,_Z,2016,A,RANK,NA
76.19,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARG,_T,_T,_T,_Z,_Z,_Z,2015,A,YR,NA
50,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARG,_T,_T,_T,_Z,_Z,_Z,2015,A,RANK,NA
76.01,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARG,_T,_T,_T,_Z,_Z,_Z,2014,A,YR,NA
49,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARG,_T,_T,_T,_Z,_Z,_Z,2014,A,RANK,NA
75.8,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARG,_T,_T,_T,_Z,_Z,_Z,2013,A,YR,NA
48,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARG,_T,_T,_T,_Z,_Z,_Z,2013,A,RANK,NA
75.63,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARG,_T,_T,_T,_Z,_Z,_Z,2012,A,YR,NA
46,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,ARG,_T,_T,_T,_Z,_Z,_Z,2012,A,RANK,NA
