OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
1513.96057,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CMR,_T,_T,_T,_Z,_Z,_Z,2011,A,USD,NA
52224.123777,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CAN,_T,_T,_T,_Z,_Z,_Z,2011,A,USD,NA
75280.960765,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CYM,_T,_T,_T,_Z,_Z,_Z,2011,A,USD,NA
534.057281,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CAF,_T,_T,_T,_Z,_Z,_Z,2011,A,USD,NA
1308.142187,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,TCD,_T,_T,_T,_Z,_Z,_Z,2011,A,USD,NA
60415.263208,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHI,_T,_T,_T,_Z,_Z,_Z,2011,A,USD,NA
14487.392783,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHL,_T,_T,_T,_Z,_Z,_Z,2011,A,USD,NA
5703.76028,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CHN,_T,_T,_T,_Z,_Z,_Z,2011,A,USD,NA
7400.99407,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,COL,_T,_T,_T,_Z,_Z,_Z,2011,A,USD,NA
1531.439693,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,COM,_T,_T,_T,_Z,_Z,_Z,2011,A,USD,NA
8187.208249,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,COL,_T,_T,_T,_Z,_Z,_Z,2014,A,USD,NA
