country_code,country,year,health_expenditure_gdp
ITA,Italy,2010,7.35581701220809
ITA,Italy,2011,7.07521953562348
ITA,Italy,2012,7.0749629952618
ITA,Italy,2013,7.0806569203497
ITA,Italy,2014,7.08784494620908
ITA,Italy,2015,6.99828471350868
ITA,Italy,2016,6.87395299075113
ITA,Italy,2017,6.78638046333206
JPN,Japan,2007,6.0776584853519
JPN,Japan,2008,6.30460392274846
JPN,Japan,2009,7.03564322347993
JPN,Japan,2010,7.13088386736629
JPN,Japan,2011,7.48462656473327
JPN,Japan,2012,7.59533051227775
JPN,Japan,2013,7.63120782637174
JPN,Japan,2014,7.62387312067918
JPN,Japan,2015,7.59615963648286
JPN,Japan,2016,7.49042094214062
JPN,Japan,2017,7.52475712970982
KAZ,Kazakhstan,2010,2.52701704039876
KAZ,Kazakhstan,2011,2.21757183083909
KAZ,Kazakhstan,2012,2.35635150262791
KAZ,Kazakhstan,2013,2.20864950029515
KAZ,Kazakhstan,2014,2.15804332235116
KAZ,Kazakhstan,2015,2.11304266767741
KAZ,Kazakhstan,2016,3.77539312571547
KAZ,Kazakhstan,2017,2.55176563896889
KGZ,Kyrgyz Republic,2014,3.73766515096308
KGZ,Kyrgyz Republic,2015,3.53548774952415
KGZ,Kyrgyz Republic,2016,3.37290523904376
KGZ,Kyrgyz Republic,2017,3.33303485925848
KIR,Kiribati,2011,8.80515467322091
KIR,Kiribati,2012,8.32664728897861
KIR,Kiribati,2013,8.40973188476438
KIR,Kiribati,2014,9.20339664765772
KIR,Kiribati,2015,8.84829204182422
KIR,Kiribati,2016,9.91112585496559
KIR,Kiribati,2017,9.29809513314473
KOR,"Korea, Rep.",2009,0.398392651996046
KOR,"Korea, Rep.",2010,0.362605817728748
LTU,Lithuania,2007,4.57875379593469
LTU,Lithuania,2008,4.9585609308022
LTU,Lithuania,2009,5.5318045439843
LTU,Lithuania,2010,5.38162724415797
LTU,Lithuania,2011,5.18022684020283
LTU,Lithuania,2012,4.6657487833057
LTU,Lithuania,2013,4.5187844610098296
LTU,Lithuania,2014,4.432632280456
LTU,Lithuania,2015,4.71206348854425
LTU,Lithuania,2016,4.75416960852162
LTU,Lithuania,2017,4.57972229687004
LUX,Luxembourg,2007,4.70037909882339
LUX,Luxembourg,2008,4.73703311205311
LUX,Luxembourg,2009,5.28132402236067
LUX,Luxembourg,2010,4.9755157100845
LUX,Luxembourg,2011,4.92361371194448
LUX,Luxembourg,2012,5.03480182176532
LUX,Luxembourg,2013,5.21274727871203
LUX,Luxembourg,2014,5.06239078764194
LUX,Luxembourg,2015,4.90853765526158
LUX,Luxembourg,2016,4.76746411994001
LUX,Luxembourg,2017,4.98880671425231
LVA,Latvia,2007,4.01133087548056
LVA,Latvia,2008,4.30205855137511
LVA,Latvia,2009,4.51119820810957
LVA,Latvia,2010,4.0627365942752
LVA,Latvia,2011,4.25140549341693
LVA,Latvia,2012,3.89000783883971
LVA,Latvia,2013,3.6708806584838
LVA,Latvia,2014,3.8021609412941
LVA,Latvia,2015,3.72458608407918
LVA,Latvia,2016,3.68627982015892
LVA,Latvia,2017,3.50945305361289
MAC,"Macao SAR, China",2007,1.32688565408521
MAC,"Macao SAR, China",2008,1.28961598922551
MAC,"Macao SAR, China",2009,1.64987177136624
MAC,"Macao SAR, China",2010,1.38010494743316
MAC,"Macao SAR, China",2011,1.33187332384121
MAC,"Macao SAR, China",2012,1.22515140835458
MAC,"Macao SAR, China",2013,1.0802518834793
MAC,"Macao SAR, China",2014,1.20836310519571
MAC,"Macao SAR, China",2015,1.82696310966951
MAC,"Macao SAR, China",2016,1.93952800365208
MAC,"Macao SAR, China",2017,1.82057344522479
MDA,Moldova,2007,4.91974753081959
MDA,Moldova,2008,5.38909208284698
MDA,Moldova,2009,6.36573314660648
MDA,Moldova,2010,4.63446248487235
MDA,Moldova,2011,4.31252269183755
MDA,Moldova,2012,4.50302590090387
MDA,Moldova,2013,4.37277208231819
MDA,Moldova,2014,4.41281681166171
MDA,Moldova,2015,4.42932326920184
MDA,Moldova,2016,4.0453425695407
MDA,Moldova,2017,4.12977205438868
MDV,Maldives,2007,3.2702902703452
MDV,Maldives,2008,4.56157674983974
MDV,Maldives,2009,4.65080109934594
MLT,Malta,2007,5.46227198781628
MLT,Malta,2008,5.17442755435828
MLT,Malta,2009,5.00962196033526
MLT,Malta,2010,5.05269677494571
MLT,Malta,2011,5.26649414173587
MLT,Malta,2012,5.2812353766963
MLT,Malta,2013,5.34697517651979
MLT,Malta,2014,5.40976700005588
MLT,Malta,2015,5.27174359676757
MLT,Malta,2016,5.13788279042368
MLT,Malta,2017,4.86387676795073
MMR,Myanmar,2012,0.780188633104829
MMR,Myanmar,2013,0.888261634485145
MMR,Myanmar,2014,1.07338663269089
MMR,Myanmar,2015,1.08988559082745
MMR,Myanmar,2016,0.948633205642887
MMR,Myanmar,2017,1.31909415440602
MNG,Mongolia,2010,2.53684989454767
MNG,Mongolia,2011,2.49612652445334
MNG,Mongolia,2012,2.61132950800464
MNG,Mongolia,2016,2.01970817183445
MNG,Mongolia,2017,1.95939768083337
MUS,Mauritius,2007,1.76684693442775
MUS,Mauritius,2008,1.69785444657289
MUS,Mauritius,2009,2.07089157390559
MUS,Mauritius,2010,2.60218271742545
MUS,Mauritius,2011,2.30382750516312
MUS,Mauritius,2012,2.27923329020506
MUS,Mauritius,2013,2.39919424712051
MUS,Mauritius,2014,2.45574508368906
MUS,Mauritius,2015,1.10439591766919
MUS,Mauritius,2016,2.25235512264868
MUS,Mauritius,2017,2.4381435559287
NLD,Netherlands,2007,6.71802574414135
NLD,Netherlands,2008,6.5507000948705
NLD,Netherlands,2009,7.41467442969583
NLD,Netherlands,2010,7.75578977670072
NLD,Netherlands,2011,7.88057057717353
NLD,Netherlands,2012,8.12951976060009
NLD,Netherlands,2013,8.03269827378672
NLD,Netherlands,2014,7.96265411876824
NLD,Netherlands,2015,7.71976556793544
NLD,Netherlands,2016,7.24965659001295
NLD,Netherlands,2017,7.28744719879265
NOR,Norway,2007,6.84741887674383
NOR,Norway,2008,6.53451420852493
NOR,Norway,2009,7.43288552091394
NOR,Norway,2010,7.31245041455067
NOR,Norway,2011,7.09775940957939
NOR,Norway,2012,7.08817019171106
NOR,Norway,2013,7.3234455164246
NOR,Norway,2014,7.6808389712494
NOR,Norway,2015,8.18578338710548
NOR,Norway,2016,8.56248405425485
NOR,Norway,2017,8.34012668280219
NRU,Nauru,2014,10.6819924639129
NRU,Nauru,2015,10.9790136102943
NRU,Nauru,2016,11.4463239040241
NRU,Nauru,2017,10.9911082129763
NZL,New Zealand,2009,7.00259022801303
NZL,New Zealand,2010,6.8380878186266
NZL,New Zealand,2011,6.70826007213168
NZL,New Zealand,2012,6.96034101907465
NZL,New Zealand,2013,6.94773118897186
NZL,New Zealand,2014,6.78994404595869
NZL,New Zealand,2015,6.67173088004451
NZL,New Zealand,2016,6.52150146592383
NZL,New Zealand,2017,6.23738733547749
POL,Poland,2007,4.48460098924799
POL,Poland,2008,4.9619204169852
POL,Poland,2009,5.00348208067713
POL,Poland,2010,5.01265957983037
POL,Poland,2011,4.70913225244857
POL,Poland,2012,4.65673701511596
POL,Poland,2013,4.71172167059479
POL,Poland,2014,4.69127000680896
POL,Poland,2015,4.67513119202505
POL,Poland,2016,4.65128637421582
POL,Poland,2017,4.69939676032911
PRT,Portugal,2007,7.11958339079366
PRT,Portugal,2008,7.30170382595917
PRT,Portugal,2009,8.03183966835484
PRT,Portugal,2010,7.47823683208359
PRT,Portugal,2011,6.95577474130617
PRT,Portugal,2012,6.62498247131832
PRT,Portugal,2013,6.49498247134915
PRT,Portugal,2014,6.29156903319605
PRT,Portugal,2015,6.15806740962823
PRT,Portugal,2016,6.1063859792868
PRT,Portugal,2017,6.24691409058874
ROU,Romania,2007,3.64435620101054
ROU,Romania,2008,3.64926590477898
ROU,Romania,2009,4.03400374914484
ROU,Romania,2010,4.05734354697251
ROU,Romania,2011,3.95653430421798
ROU,Romania,2012,3.67623541955357
ROU,Romania,2013,4.04885728042097
ROU,Romania,2014,3.99737529983118
ROU,Romania,2015,4.2014130784418
ROU,Romania,2016,4.10647873121767
ROU,Romania,2017,4.35565311605638
RUS,Russian Federation,2008,3.87619860752602
RUS,Russian Federation,2009,4.72220405116286
RUS,Russian Federation,2010,4.18963985180268
RUS,Russian Federation,2011,3.6795088718184
RUS,Russian Federation,2012,3.19881004559975
RUS,Russian Federation,2013,3.13198334561451
RUS,Russian Federation,2014,3.1438881277868
RUS,Russian Federation,2015,2.72661928403367
RUS,Russian Federation,2016,3.62430498456341
RUS,Russian Federation,2017,3.02233740796837
SGP,Singapore,2007,0.817755638480133
SGP,Singapore,2008,1.00459367982081
SGP,Singapore,2009,1.30562032900782
SGP,Singapore,2010,1.16242548093905
SGP,Singapore,2011,1.14000169053576
SGP,Singapore,2012,1.28247785546837
SGP,Singapore,2013,1.51331500508093
SGP,Singapore,2014,1.77338945762091
SGP,Singapore,2015,2.1104556658128
SGP,Singapore,2016,2.22691802432554
SGP,Singapore,2017,2.1510829674498
SLV,El Salvador,2007,3.22424206798242
SLV,El Salvador,2008,3.82167446494334
SLV,El Salvador,2009,4.21836171897814
SLV,El Salvador,2010,3.5835998944055
SLV,El Salvador,2011,4.32364957436455
SLV,El Salvador,2012,3.26114581823011
SLV,El Salvador,2013,3.24724341274778
SLV,El Salvador,2014,2.35112180643345
SLV,El Salvador,2015,3.87358436469633
SLV,El Salvador,2016,3.81044188394067
SLV,El Salvador,2017,3.81877875143269
SOM,Somalia,2017,0.0403929283286615
SRB,Serbia,2007,6.12574502312368
SRB,Serbia,2008,5.87961668997867
SRB,Serbia,2009,5.9752065398145
SRB,Serbia,2010,5.76806340453629
SRB,Serbia,2011,5.55506653357202
SRB,Serbia,2012,5.64626590057857
SVK,Slovak Republic,2007,6.18761527659258
SVK,Slovak Republic,2008,6.82498450951662
SVK,Slovak Republic,2009,7.40368575592008
SVK,Slovak Republic,2010,7.31828546498946
SVK,Slovak Republic,2011,6.95093458594875
SVK,Slovak Republic,2012,6.93426133617201
SVK,Slovak Republic,2013,6.97833481893552
SVK,Slovak Republic,2014,7.12161808194922
SVK,Slovak Republic,2015,7.11191234816121
SVK,Slovak Republic,2016,7.45459310996589
SVK,Slovak Republic,2017,5.47714297187427
SVN,Slovenia,2007,5.94648351742713
SVN,Slovenia,2008,6.20147527562059
SVN,Slovenia,2009,7.01562923000924
SVN,Slovenia,2010,6.91613500948661
SVN,Slovenia,2011,7.03491090799354
SVN,Slovenia,2012,6.98835351871229
SVN,Slovenia,2013,6.86112321142689
SVN,Slovenia,2014,6.54799320649622
SVN,Slovenia,2015,6.73313953639408
SVN,Slovenia,2016,6.77143042795877
SVN,Slovenia,2017,6.61944845221757
SWE,Sweden,2007,6.51528266676248
SWE,Sweden,2008,6.74485515298407
SWE,Sweden,2009,7.16432556764118
SWE,Sweden,2010,6.87557000065605
SWE,Sweden,2011,6.90740613279674
SWE,Sweden,2012,7.02913562904348
SWE,Sweden,2013,7.10087847707513
SWE,Sweden,2014,7.12539322645126
SWE,Sweden,2015,7.0321581286207
SWE,Sweden,2016,7.0285450034206
SWE,Sweden,2017,7.06178414704902
SYC,Seychelles,2007,2.89022312441589
SYC,Seychelles,2008,2.64874483134763
THA,Thailand,2013,1.06274891854373
THA,Thailand,2014,1.05870777657139
THA,Thailand,2015,1.13507727470737
THA,Thailand,2016,1.14604106596667
THA,Thailand,2017,1.19306629227261
TLS,Timor-Leste,2012,4.59430834147288
TUR,Turkiye,2008,5.20002044671467
TUR,Turkiye,2009,6.83396483785616
TUR,Turkiye,2010,6.35341073151298
TUR,Turkiye,2011,5.58681310766133
TUR,Turkiye,2012,5.16964275374699
TUR,Turkiye,2013,5.2108272095256
TUR,Turkiye,2014,5.08668575793106
TUR,Turkiye,2015,5.18751614169203
TUR,Turkiye,2016,5.30482851830588
TUR,Turkiye,2017,5.25323443168428
UKR,Ukraine,2007,3.90063469760281
UKR,Ukraine,2008,3.64555952573447
UKR,Ukraine,2009,4.15849945767079
UKR,Ukraine,2010,4.27287172046776
UKR,Ukraine,2011,3.8298203602948
UKR,Ukraine,2012,4.26459187182176
UKR,Ukraine,2013,4.33868124997441
UKR,Ukraine,2014,3.69046861363085
UKR,Ukraine,2015,3.59067237134305
UKR,Ukraine,2016,3.18519120957069
UKR,Ukraine,2017,3.4326264197497798
USA,United States,2007,7.68862635369708
USA,United States,2008,7.98332413667031
USA,United States,2009,8.7039138558024
USA,United States,2010,8.81693271468655
USA,United States,2011,8.78782158018811
USA,United States,2012,8.63174797510759
USA,United States,2013,8.59171804445024
USA,United States,2014,8.85828559258865
USA,United States,2015,9.11514074883848
USA,United States,2016,9.29550808565853
USA,United States,2017,9.27091438448713
UZB,Uzbekistan,2011,2.31571408948609
UZB,Uzbekistan,2012,2.19192635630804
UZB,Uzbekistan,2013,2.44355447864917
UZB,Uzbekistan,2014,2.44698474144303
UZB,Uzbekistan,2015,2.36549460682871
UZB,Uzbekistan,2016,2.28476799271377
UZB,Uzbekistan,2017,2.13727430457164
XKX,Kosovo,2016,2.78005068490882
XKX,Kosovo,2017,2.8098796507512
YEM,"Yemen, Rep.",2007,1.37711807710292
YEM,"Yemen, Rep.",2008,1.30532530355776
YEM,"Yemen, Rep.",2009,1.46708451252628
YEM,"Yemen, Rep.",2010,1.13374272322126
YEM,"Yemen, Rep.",2011,1.54245272059982
YEM,"Yemen, Rep.",2012,1.60370664089919
ZAF,South Africa,2008,3.73708996408758
ZAF,South Africa,2009,3.91377617940405
ZAF,South Africa,2010,3.9916878217235
ZAF,South Africa,2011,4.12914136770536
ZAF,South Africa,2012,4.26643477919518
ZAF,South Africa,2013,4.39970387457475
ZAF,South Africa,2014,4.45158777253196
ZAF,South Africa,2015,4.60731823453394
ZAF,South Africa,2016,3.83372758587725
ZAF,South Africa,2017,4.60276082565622
