country_code,country,year,health_expenditure_gdp,life_expectancy,gdp_per_capita,log_gdp_per_capita,region
CZE,Czechia,2010,7.66212937818253,77.21,20160.435508,9.911477324531338,Europe & Central Asia
CZE,Czechia,2011,7.58400675887682,77.08,22049.108079,10.001027430124898,Europe & Central Asia
CZE,Czechia,2012,7.6413187107765,77.42,20014.035402,9.904189076510631,Europe & Central Asia
CZE,Czechia,2013,7.52845219165889,77.87,20260.4955,9.916428234561849,Europe & Central Asia
CZE,Czechia,2014,7.4954242710869,78.08,20038.416318,9.905406526028177,Europe & Central Asia
CZE,Czechia,2015,7.4898969498559,78.28,17931.598767,9.794319729774053,Europe & Central Asia
CZE,Czechia,2016,7.34752830356203,78.28,18753.968672,9.839160671507877,Europe & Central Asia
CZE,Czechia,2017,7.28874158580701,79.47,20913.197632,9.948135704308296,Europe & Central Asia
DEU,Germany,2007,6.24682364232836,79,42350.921721,10.65374546421172,Europe & Central Asia
DEU,Germany,2008,6.36762070989466,80,46379.164795,10.744605602777607,Europe & Central Asia
DEU,Germany,2009,6.99695775731802,80,42471.886863,10.656597650457924,Europe & Central Asia
DEU,Germany,2010,6.85427704257548,80.09,42396.966598,10.654832096160762,Europe & Central Asia
DEU,Germany,2011,6.67415141512696,79.94,47630.976188,10.771238588818978,Europe & Central Asia
DEU,Germany,2012,6.70448296302645,79.99,44718.015921,10.708131740140814,Europe & Central Asia
DEU,Germany,2013,6.91798498925811,80.74,47206.835351,10.762293977847186,Europe & Central Asia
DEU,Germany,2014,6.99270058321637,80.89,48959.59912,10.79875072924419,Europe & Central Asia
DEU,Germany,2015,7.04237356796785,81.04,41929.754911000004,10.643750994953354,Europe & Central Asia
DEU,Germany,2016,7.05091501856945,80.84,42948.938193,10.66776720517433,Europe & Central Asia
DEU,Germany,2017,6.98457871400224,81.09,45553.93415,10.7266522688816,Europe & Central Asia
DNK,Denmark,2007,7.64819200249664,78,58631.656643,10.979030045451958,Europe & Central Asia
DNK,Denmark,2008,7.85032609999,79,64616.665758,11.076227640368549,Europe & Central Asia
DNK,Denmark,2009,8.83315120292796,78,58412.747236,10.975289419586929,Europe & Central Asia
DNK,Denmark,2010,8.54080984237375,78.7,58104.544559,10.96999915938514,Europe & Central Asia
DNK,Denmark,2011,8.44194203833096,78.6,61809.737898,11.0318162021978,Europe & Central Asia
DNK,Denmark,2012,8.66325257351271,79.1,58443.77471,10.975820454983367,Europe & Central Asia
DNK,Denmark,2013,8.48670872865471,79.8,61377.594059,11.02480012993074,Europe & Central Asia
DNK,Denmark,2014,8.56351331288486,80.05,62520.450975,11.043248997801143,Europe & Central Asia
DNK,Denmark,2015,8.54996980601968,80.3,53094.013361,10.879819458143396,Europe & Central Asia
DNK,Denmark,2016,8.46149051092042,80.55,54500.926041,10.905972972084962,Europe & Central Asia
DNK,Denmark,2017,8.33603932062136,81.1,57521.551499,10.959914965240475,Europe & Central Asia
EGY,"Egypt, Arab Rep.",2007,1.33233033105348,68,1547.741707,7.3445521842845185,Middle East & North Africa
EGY,"Egypt, Arab Rep.",2008,1.39783865738339,68,1896.215943,7.547615570316881,Middle East & North Africa
EGY,"Egypt, Arab Rep.",2009,1.44025449118549,68,2161.639646,7.678622308081411,Middle East & North Africa
EGY,"Egypt, Arab Rep.",2010,1.36689958417964,70.14,2455.081946,7.805915418897616,Middle East & North Africa
EGY,"Egypt, Arab Rep.",2011,1.40655506307914,70.34,2590.643849,7.859661714147613,Middle East & North Africa
EGY,"Egypt, Arab Rep.",2012,1.34304651579387,72.98,2996.067707,8.00505594351393,Middle East & North Africa
EGY,"Egypt, Arab Rep.",2013,1.71771930767577,73.2,3025.525636,8.014840119336675,Middle East & North Africa
EGY,"Egypt, Arab Rep.",2014,1.77141079812207,70.91,3133.391023,8.04987109101624,Middle East & North Africa
EGY,"Egypt, Arab Rep.",2015,1.63785343099145,71.13,3306.981594,8.103791147196723,Middle East & North Africa
ESP,Spain,2007,5.61969393950382,80,32652.015595,10.39366186618353,Europe & Central Asia
ESP,Spain,2008,5.98166268754377,81,35603.248328,10.480192157846076,Europe & Central Asia
ESP,Spain,2009,6.71864347816329,81,32279.820848,10.382197572430442,Europe & Central Asia
ESP,Spain,2010,6.51136515121995,81.09,30658.742228,10.330673128361893,Europe & Central Asia
ESP,Spain,2011,6.39681959233401,81.53,31824.621913,10.367995543166506,Europe & Central Asia
ESP,Spain,2012,6.15165880454348,81.63,28456.443815,10.256129910041668,Europe & Central Asia
ESP,Spain,2013,6.07753481267825,82.33,29228.84656,10.282911396498776,Europe & Central Asia
ESP,Spain,2014,6.02455142706622,82.38,29707.765509,10.299163755564283,Europe & Central Asia
ESP,Spain,2015,6.05514186173351,82.43,25982.44162,10.165176266563105,Europe & Central Asia
ESP,Spain,2016,5.96121749430197,83.08,26755.606115,10.19449930475903,Europe & Central Asia
ESP,Spain,2017,5.85096499588814,83.38,28381.34256,10.253487256149024,Europe & Central Asia
EST,Estonia,2007,4.40307861891361,72,16745.430801,9.725880712039798,Europe & Central Asia
EST,Estonia,2008,5.24943859167744,73,18205.906411,9.809501348493963,Europe & Central Asia
EST,Estonia,2009,5.92674777499303,73,14712.449422,9.596449313805614,Europe & Central Asia
EST,Estonia,2010,5.67164300599114,73.97,14663.704102,9.593130610783492,Europe & Central Asia
EST,Estonia,2011,5.21447437739893,74.82,17555.545524,9.773125163255,Europe & Central Asia
EST,Estonia,2012,5.1889358728249,75.43,17568.213797,9.773846513918723,Europe & Central Asia
EST,Estonia,2013,5.16510003793724,76.13,19310.38749,9.868398442025988,Europe & Central Asia
EST,Estonia,2014,5.22253724175791,76.43,20581.789899,9.932161978346656,Europe & Central Asia
EST,Estonia,2015,5.57472815287691,76.42,17722.155767,9.782570874039337,Europe & Central Asia
EST,Estonia,2016,5.29497551935737,77.24,18666.373652,9.834478983711689,Europe & Central Asia
EST,Estonia,2017,5.14103189940176,77.13,20851.52235,9.945182238950016,Europe & Central Asia
FIN,Finland,2007,6.46542507697571,79,48473.024009,10.788762716185635,Europe & Central Asia
FIN,Finland,2008,6.70012611638741,79,53769.472624,10.8924611617586,Europe & Central Asia
FIN,Finland,2009,7.40755005584686,79,47478.349531,10.768029086767266,Europe & Central Asia
FIN,Finland,2010,7.32953126079631,79.79,46506.291902,10.747342892142344,Europe & Central Asia
FIN,Finland,2011,7.36371074455298,79.72,51060.324259,10.840763041323685,Europe & Central Asia
FIN,Finland,2012,7.71201321149838,79.87,47551.674084,10.769572274167672,Europe & Central Asia
FIN,Finland,2013,7.82934695895185,80.47,49691.01452,10.813579401373252,Europe & Central Asia
FIN,Finland,2014,7.81016641130611,80.63,50073.776082,10.821252718537862,Europe & Central Asia
FIN,Finland,2015,7.28812356600516,80.83,42560.345677,10.658678246092505,Europe & Central Asia
FIN,Finland,2016,7.17917597624105,81.13,43451.256244,10.679395042680646,Europe & Central Asia
FIN,Finland,2017,7.01190007998197,81.39,46085.017474,10.73824317559662,Europe & Central Asia
FRA,France,2007,7.46291259735443,80,41486.190783,10.63311589862762,Europe & Central Asia
FRA,France,2008,7.44908099860468,81,45464.818139,10.724694078130018,Europe & Central Asia
FRA,France,2009,7.95560058706212,81,41728.088416,10.638929764149111,Europe & Central Asia
FRA,France,2010,7.9786436952241,81.52,40694.82117,10.61385611935414,Europe & Central Asia
FRA,France,2011,7.93234837874064,81.07,43929.784087,10.6903478220249,Europe & Central Asia
FRA,France,2012,8.00443698882231,81.37,40863.581441,10.61799451604782,Europe & Central Asia
FRA,France,2013,8.05983402528824,81.67,42669.179511,10.661232147288477,Europe & Central Asia
FRA,France,2014,8.18903461541145,82.57,43148.045929,10.672392409947337,Europe & Central Asia
FRA,France,2015,8.07875795112153,81.97,36702.432373,10.510598309039889,Europe & Central Asia
FRA,France,2016,8.12517987994426,82.37,37024.215713,10.519327456278289,Europe & Central Asia
FRA,France,2017,8.11163995782769,82.67,38687.162641,10.56326310928554,Europe & Central Asia
GBR,United Kingdom,2007,6.52243860531633,79,50629.079917,10.83228139211465,Europe & Central Asia
GBR,United Kingdom,2008,6.8570532128514,79,47652.403069,10.77168833947913,Europe & Central Asia
GBR,United Kingdom,2009,7.69898282672672,80,39009.371555,10.571557192527308,Europe & Central Asia
GBR,United Kingdom,2010,7.58663220919671,79.9,39778.322053,10.591077370849655,Europe & Central Asia
GBR,United Kingdom,2011,7.37301439320578,80.05,42295.927384,10.652446081061155,Europe & Central Asia
GBR,United Kingdom,2012,7.3291066484217,80.4,42688.326373,10.661680774790485,Europe & Central Asia
GBR,United Kingdom,2013,7.34399147618029,80.75,43607.663683,10.682988186436813,Europe & Central Asia
GBR,United Kingdom,2014,7.4702794180339,81.5,47746.981065,10.773671120140536,Europe & Central Asia
GBR,United Kingdom,2015,7.5413877004943,80.96,45256.040227,10.72009142589921,Europe & Central Asia
GBR,United Kingdom,2016,7.5677643355116,81.06,41258.537429,10.627613338323668,Europe & Central Asia
GBR,United Kingdom,2017,7.41245302480405,81.6,40918.052087,10.619326615975517,Europe & Central Asia
GEO,Georgia,2007,1.4378276896307,74,2635.366503,7.876777541625882,Europe & Central Asia
GEO,Georgia,2008,1.5960837306545,70,3324.753721,8.10915088147454,Europe & Central Asia
GEO,Georgia,2009,1.96745426128528,72,2822.689397,7.945445396341185,Europe & Central Asia
GEO,Georgia,2010,2.05339819567341,71.55,3281.729309,8.096125790795812,Europe & Central Asia
GEO,Georgia,2011,1.52762278790201,71.68,4119.668183,8.323527900993408,Europe & Central Asia
GEO,Georgia,2012,1.49120752142132,73.33,4530.695334,8.41863070206211,Europe & Central Asia
GEO,Georgia,2013,1.82306602021496,73.33,4712.002294,8.457868212173409,Europe & Central Asia
GEO,Georgia,2014,2.21988255049689,73.94,4830.334862,8.482671073850057,Europe & Central Asia
GEO,Georgia,2015,2.67163271956407,74.08,4086.622347,8.315474075820383,Europe & Central Asia
GEO,Georgia,2016,2.90999742102607,74.67,4143.401257,8.329272289185782,Europe & Central Asia
GEO,Georgia,2017,2.79343616039249,74.82,4418.752065,8.393612596971506,Europe & Central Asia
GRC,Greece,2007,6.01174242977706,79,28440.762533,10.255578695547896,Europe & Central Asia
GRC,Greece,2008,6.45852066858851,80,31695.833109,10.363940503559755,Europe & Central Asia
GRC,Greece,2009,6.81333466928131,80,29425.45732,10.289615473893855,Europe & Central Asia
GRC,Greece,2010,6.91893773089897,79.96,26653.048801,10.190658824589097,Europe & Central Asia
GRC,Greece,2011,6.60524268081661,80.19,25504.786651,10.146621425334782,Europe & Central Asia
GRC,Greece,2012,6.02609822879851,80.39,21624.346053,9.981575091019131,Europe & Central Asia
GRC,Greece,2013,5.39735519033335,80.74,21573.344976,9.979213802742734,Europe & Central Asia
GRC,Greece,2014,4.7907874246767,80.63,21474.725712,9.974631974337829,Europe & Central Asia
GRC,Greece,2015,4.97990291939225,80.63,17980.729824,9.797055898080576,Europe & Central Asia
GRC,Greece,2016,5.33312855097763,81.29,17919.242638,9.79363042213133,Europe & Central Asia
GRC,Greece,2017,5.47473932100796,81.59,18631.993013,9.832635436564107,Europe & Central Asia
GTM,Guatemala,2014,2.20155355111829,71.66,3689.145104,8.213150031060026,Latin America & Caribbean
GTM,Guatemala,2015,1.95190779740579,71.99,3893.505333,8.267065144734865,Latin America & Caribbean
GTM,Guatemala,2016,2.15490640318424,71.72,4060.137847,8.30897220448246,Latin America & Caribbean
GTM,Guatemala,2017,2.04629684445431,71.96,4324.997689,8.372166885030577,Latin America & Caribbean
HKG,"Hong Kong SAR, China",2007,2.14834899888294,82,30593.951174,10.328557594348094,East Asia & Pacific
HKG,"Hong Kong SAR, China",2008,2.27691204857662,81.9,31515.52921,10.358235694127336,East Asia & Pacific
HKG,"Hong Kong SAR, China",2009,2.45280232877001,82.28,30697.538386,10.33193774749402,East Asia & Pacific
HKG,"Hong Kong SAR, China",2010,2.41413204288388,82.34,32550.136489,10.390536840838369,East Asia & Pacific
HKG,"Hong Kong SAR, China",2011,2.5084908732805,82.72,35142.487934,10.46716615986091,East Asia & Pacific
HKG,"Hong Kong SAR, China",2012,3.10707740914721,82.88,36730.796196,10.511370815573054,East Asia & Pacific
HKG,"Hong Kong SAR, China",2013,3.33600679042513,83.42,38403.777715,10.555911111731811,East Asia & Pacific
HKG,"Hong Kong SAR, China",2014,2.81517076289654,83.48,40315.373951,10.60448816280474,East Asia & Pacific
HKG,"Hong Kong SAR, China",2015,3.22731290758377,83.83,42432.161974,10.655661890798807,East Asia & Pacific
HKG,"Hong Kong SAR, China",2016,2.82663039157664,83.98,43734.19807,10.685885639570609,East Asia & Pacific
HKG,"Hong Kong SAR, China",2017,2.89516023207905,84.28,46160.429791,10.739878212035515,East Asia & Pacific
HRV,Croatia,2007,6.38357091698819,75,13755.814905,9.529216915878612,Europe & Central Asia
HRV,Croatia,2008,5.87800386349002,76,15888.118439,9.673326840877008,Europe & Central Asia
HRV,Croatia,2009,6.41891509433962,76,14474.525139,9.580145496307226,Europe & Central Asia
HRV,Croatia,2010,6.50416610337524,75.91,13729.747287,9.527320092693136,Europe & Central Asia
HRV,Croatia,2011,6.3477169405451,76.14,14691.591758,9.595030619866868,Europe & Central Asia
HRV,Croatia,2012,6.54468166051248,76.48,13507.634988,9.51101035922742,Europe & Central Asia
HRV,Croatia,2013,6.45839220842898,76.88,14135.090349,9.55641566197143,Europe & Central Asia
HRV,Croatia,2014,6.50418267083519,76.92,14186.771223,9.560065205362552,Europe & Central Asia
HRV,Croatia,2015,6.82802984165652,77.13,12283.87503,9.416042708112675,Europe & Central Asia
HRV,Croatia,2016,6.59301110248284,77.33,12820.187275,9.458776338402286,Europe & Central Asia
HRV,Croatia,2017,6.73920491014121,77.28,13901.649866,9.539762807470725,Europe & Central Asia
HUN,Hungary,2007,4.92976469722629,73,13934.60546,9.542130626633996,Europe & Central Asia
HUN,Hungary,2008,4.89041738948161,73,15762.632252,9.665397370531394,Europe & Central Asia
HUN,Hungary,2009,5.22110665238453,73,13051.183178,9.47663407362186,Europe & Central Asia
HUN,Hungary,2010,4.97015600420199,74.01,13189.843387,9.487202372024491,Europe & Central Asia
HUN,Hungary,2011,5.07291244206625,73.9,14211.460558,9.561803999623468,Europe & Central Asia
HUN,Hungary,2012,5.08586325080317,74.21,12950.159449,9.468863379715977,Europe & Central Asia
HUN,Hungary,2013,5.00905330384062,74.86,13739.462015,9.528027410351845,Europe & Central Asia
HUN,Hungary,2014,4.79181539405305,75.06,14352.501883,9.57167955323844,Europe & Central Asia
HUN,Hungary,2015,5.14574871887667,75.27,12782.941258,9.455866846835551,Europe & Central Asia
HUN,Hungary,2016,4.71575869482156,75.87,13215.860528,9.489172942436308,Europe & Central Asia
HUN,Hungary,2017,4.68344590903516,75.96,14736.166816,9.598060078735031,Europe & Central Asia
IDN,Indonesia,2008,1.14392444218916,68,2124.554839,7.661317571883528,East Asia & Pacific
IDN,Indonesia,2009,1.03071427086149,68,2218.485419,7.704579998338497,East Asia & Pacific
IDN,Indonesia,2010,0.818570956906415,70.79,3065.683484,8.028025819921401,East Asia & Pacific
IDN,Indonesia,2011,0.779141149728681,71.18,3579.464425,8.18296846624795,East Asia & Pacific
IDN,Indonesia,2012,0.804656194975118,68.89,3632.27254,8.197613775452188,East Asia & Pacific
IDN,Indonesia,2013,0.832287709349146,69.32,3566.602845,8.179368837696556,East Asia & Pacific
IDN,Indonesia,2014,0.816016108298138,70.61,3441.068085,8.143537192001034,East Asia & Pacific
IDN,Indonesia,2015,0.855433426243356,70.82,3288.222697,8.098102484113626,East Asia & Pacific
IDN,Indonesia,2016,1.53264472143598,68.89,3521.469435,8.166633634607829,East Asia & Pacific
IDN,Indonesia,2017,1.38718440983189,69.07,3798.883262,8.2424624241027,East Asia & Pacific
IRL,Ireland,2007,6.23123915360024,78,61396.417461,11.025106764892234,Europe & Central Asia
IRL,Ireland,2008,6.92033393313862,80,61353.106563,11.02440108558078,Europe & Central Asia
IRL,Ireland,2009,7.87821908919302,80,52133.090616,10.861555162711076,Europe & Central Asia
IRL,Ireland,2010,7.47037612311222,79.86,48623.966642,10.791871829116523,Europe & Central Asia
IRL,Ireland,2011,7.96151236148617,79.5,52613.854036,10.870734748760963,Europe & Central Asia
IRL,Ireland,2012,7.70529451714711,80.29,49335.84081,10.806406090016212,Europe & Central Asia
IRL,Ireland,2013,7.32462169171989,80.5,52537.610865,10.86928458951814,Europe & Central Asia
IRL,Ireland,2014,6.72688531802672,80.9,57214.537979,10.954563305546616,Europe & Central Asia
IRL,Ireland,2015,5.18458371124866,81.04,64250.138518,11.070539158677322,Europe & Central Asia
IRL,Ireland,2016,5.23053851144684,81.15,64129.557154,11.068660646676996,Europe & Central Asia
IRL,Ireland,2017,4.96532665168208,81.5,72161.404753,11.186660621744917,Europe & Central Asia
ISL,Iceland,2007,7.4740880475245,81,70483.011723,11.163126991294709,Europe & Central Asia
ISL,Iceland,2008,7.4094726928083,81,57489.33998,10.959354817946112,Europe & Central Asia
ISL,Iceland,2009,7.71355650711772,82,41483.784368,10.633057891740275,Europe & Central Asia
