country_code,year,gdp_per_capita,log_gdp_per_capita,region
HUN,2007,13934.60546,9.542130626633996,Europe & Central Asia
ISL,2007,70483.011723,11.163126991294709,Europe & Central Asia
IND,2007,1021.887077,6.9294062724867285,South Asia
IDN,2007,1823.219763,7.508359317605064,East Asia & Pacific
IRN,2007,4687.991663,8.45275955288496,Middle East & North Africa
SUR,2011,7949.888672,8.980913204028315,Latin America & Caribbean
SWE,2011,60379.48146,11.008404615280925,Europe & Central Asia
CHE,2011,91910.396457,11.428569429877832,Europe & Central Asia
SYR,2011,2952.143729,7.990286873220744,Middle East & North Africa
TJK,2011,833.601978,6.725756043836978,Europe & Central Asia
TZA,2011,775.392761,6.6533696893665795,Sub-Saharan Africa
THA,2011,5373.623283,8.589257686792754,East Asia & Pacific
TLS,2011,939.045241,6.8448636580263456,East Asia & Pacific
TGO,2011,834.14672,6.726409310147456,Sub-Saharan Africa
TON,2011,3849.993758,8.255826805981814,East Asia & Pacific
TTO,2011,19151.087023,9.860114756600932,Latin America & Caribbean
ECU,2010,4520.30959,8.416335763843545,Latin America & Caribbean
EGY,2010,2455.081946,7.805915418897616,Middle East & North Africa
SLV,2010,3040.07301,8.019636810559245,Latin America & Caribbean
GNQ,2010,13720.165872,9.526621991002713,Sub-Saharan Africa
ERI,2010,539.699512,6.291012525418148,Sub-Saharan Africa
EST,2010,14663.704102,9.593130610783492,Europe & Central Asia
SWZ,2010,3922.740394,8.274545768643877,Sub-Saharan Africa
ETH,2010,330.619413,5.8009679041711095,Sub-Saharan Africa
FRO,2010,47924.136476,10.777374549514686,Europe & Central Asia
FJI,2010,3449.144529,8.145881516668899,East Asia & Pacific
FIN,2010,46506.291902,10.747342892142344,Europe & Central Asia
FRA,2010,40694.82117,10.613856119354141,Europe & Central Asia
PLW,2011,10795.639901,9.286897618727961,East Asia & Pacific
PAN,2011,9662.295922,9.175986572051677,Latin America & Caribbean
PNG,2011,2288.375911,7.735597635770187,East Asia & Pacific
PRY,2011,5805.401545,8.66654406400499,Latin America & Caribbean
PER,2011,5861.357936,8.676136585418712,Latin America & Caribbean
PHL,2011,2383.918925,7.776501019637157,East Asia & Pacific
POL,2011,13867.666941,9.537315290147898,Europe & Central Asia
PRT,2011,23246.542542,10.053911692086423,Europe & Central Asia
QAT,2011,103261.510293,11.545019984445215,Middle East & North Africa
ROU,2011,9560.675528,9.165413665473697,Europe & Central Asia
SAU,2007,18596.150263,9.830709863171462,Middle East & North Africa
SEN,2007,1188.938778,7.080816405037103,Sub-Saharan Africa
SRB,2007,6081.087657,8.712938849915082,Europe & Central Asia
SYC,2007,12669.302669,9.446937233836847,Sub-Saharan Africa
SLE,2007,631.889926,6.4487152112563795,Sub-Saharan Africa
SGP,2007,39432.88602,10.58235541770064,East Asia & Pacific
SVK,2007,14330.206494,9.570124930627678,Europe & Central Asia
SVN,2007,23725.1596,10.07429135053664,Europe & Central Asia
SLB,2007,1390.14871,7.2371660060136955,East Asia & Pacific
SOM,2007,479.635628,6.173026707299979,Sub-Saharan Africa
ZAF,2007,6591.85536,8.79359012960101,Sub-Saharan Africa
DNK,2017,57521.551499,10.959914965240475,Europe & Central Asia
DJI,2017,2618.955211,7.870530742795996,Middle East & North Africa
DMA,2017,8224.648966,9.014890895817027,Latin America & Caribbean
DOM,2017,7412.715716,8.91095214453515,Latin America & Caribbean
ECU,2017,6233.322448,8.737664767862883,Latin America & Caribbean
EGY,2017,2395.103333,7.781181654216998,Middle East & North Africa
SLV,2017,4020.126714,8.299068702011816,Latin America & Caribbean
GNQ,2017,7809.104657,8.963045595673009,Sub-Saharan Africa
EST,2017,20851.52235,9.945182238950016,Europe & Central Asia
SWZ,2017,3853.099566,8.25663318545501,Sub-Saharan Africa
PRT,2017,21442.384277,9.97312481595133,Europe & Central Asia
QAT,2017,63279.855695,11.055322322018581,Middle East & North Africa
