country_code,country,year,life_expectancy,health_expenditure_gdp
AUT,Austria,2017,81.84,1.44980883242393
AUT,Austria,2017,81.84,2.80110179233478
AUT,Austria,2017,81.84,1.8611291151386
AUT,Austria,2017,81.84,8.18686177076243
AZE,Azerbaijan,2008,64,0.892688079885991
AZE,Azerbaijan,2008,64,0.86254148271429
AZE,Azerbaijan,2008,64,0.86254148271429
AZE,Azerbaijan,2008,64,0.0012457271558554
AZE,Azerbaijan,2008,64,0.86254148271429
AZE,Azerbaijan,2008,64,0
AZE,Azerbaijan,2008,64,0.0289008700158456
AZE,Azerbaijan,2008,64,0
AZE,Azerbaijan,2009,68,1.16202968976026
AZE,Azerbaijan,2009,68,1.13028945409604
AZE,Azerbaijan,2009,68,1.13028945409604
AZE,Azerbaijan,2009,68,0
AZE,Azerbaijan,2009,68,1.13028945409604
AZE,Azerbaijan,2009,68,0
AZE,Azerbaijan,2009,68,0.0317402356642276
AZE,Azerbaijan,2009,68,0
AZE,Azerbaijan,2010,70.18,1.03473448722477
AZE,Azerbaijan,2010,70.18,1.01071470622866
AZE,Azerbaijan,2010,70.18,1.01071470622866
AZE,Azerbaijan,2010,70.18,0
AZE,Azerbaijan,2010,70.18,1.01071470622866
AZE,Azerbaijan,2010,70.18,0
AZE,Azerbaijan,2010,70.18,0.0240197809961144
AZE,Azerbaijan,2010,70.18,0
AZE,Azerbaijan,2011,70.44,0.973272915786644
AZE,Azerbaijan,2011,70.44,0.947352252217657
AZE,Azerbaijan,2011,70.44,0.947352252217657
AZE,Azerbaijan,2011,70.44,0
AZE,Azerbaijan,2011,70.44,0.947352252217657
AZE,Azerbaijan,2011,70.44,0
AZE,Azerbaijan,2011,70.44,0.0259206635689874
AZE,Azerbaijan,2011,70.44,0
AZE,Azerbaijan,2012,70.51,1.13784782541187
AZE,Azerbaijan,2012,70.51,1.11318745353347
AZE,Azerbaijan,2012,70.51,1.11318745353347
AZE,Azerbaijan,2012,70.51,0
AZE,Azerbaijan,2012,70.51,1.11318745353347
AZE,Azerbaijan,2012,70.51,0
AZE,Azerbaijan,2012,70.51,0.0246603718784079
AZE,Azerbaijan,2012,70.51,0
AZE,Azerbaijan,2013,70.65,1.08710597779382
AZE,Azerbaijan,2013,70.65,1.06373105084047
AZE,Azerbaijan,2013,70.65,1.06373105084047
AZE,Azerbaijan,2013,70.65,0
AZE,Azerbaijan,2013,70.65,1.06373105084047
AZE,Azerbaijan,2013,70.65,0
AZE,Azerbaijan,2013,70.65,0.0233749269533533
AZE,Azerbaijan,2013,70.65,0
AZE,Azerbaijan,2014,70.62,1.16023119898465
AZE,Azerbaijan,2014,70.62,1.1273576992617
AZE,Azerbaijan,2014,70.62,1.1273576992617
AZE,Azerbaijan,2014,70.62,0
AZE,Azerbaijan,2014,70.62,1.1273576992617
AZE,Azerbaijan,2014,70.62,0
AZE,Azerbaijan,2014,70.62,0.0328734997229476
AZE,Azerbaijan,2014,70.62,0
AZE,Azerbaijan,2015,70.69,1.33891136447223
AZE,Azerbaijan,2015,70.69,1.30231702831924
AZE,Azerbaijan,2015,70.69,1.30231702831924
AZE,Azerbaijan,2015,70.69,0
AZE,Azerbaijan,2015,70.69,1.30231702831924
AZE,Azerbaijan,2015,70.69,0
AZE,Azerbaijan,2015,70.69,0.0365943361529974
AZE,Azerbaijan,2015,70.69,0
AZE,Azerbaijan,2016,70.76,1.20648338772565
AZE,Azerbaijan,2016,70.76,1.16226342651741
AZE,Azerbaijan,2016,70.76,1.16226342651741
AZE,Azerbaijan,2016,70.76,3.30987733594593e-5
AZE,Azerbaijan,2016,70.76,1.16226342651741
AZE,Azerbaijan,2016,70.76,0
AZE,Azerbaijan,2016,70.76,0.0441868624348782
AZE,Azerbaijan,2016,70.76,0
AZE,Azerbaijan,2017,70.85,1.04059268273958
AZE,Azerbaijan,2017,70.85,1.00187950149137
AZE,Azerbaijan,2017,70.85,1.00187950149137
AZE,Azerbaijan,2017,70.85,0
AZE,Azerbaijan,2017,70.85,1.00187950149137
AZE,Azerbaijan,2017,70.85,0
AZE,Azerbaijan,2017,70.85,0.0387131812482051
AZE,Azerbaijan,2017,70.85,0
BHR,Bahrain,2007,74,1.94272789692637
BHR,Bahrain,2008,75,1.92897706701975
BHR,Bahrain,2009,75,2.35542786118106
BHR,Bahrain,2010,75.91,2.13983988746613
BHR,Bahrain,2011,76.08,2.43390333641405
BHR,Bahrain,2012,75.02,2.42078943395247
BHR,Bahrain,2013,75.16,3.01654699485486
BHR,Bahrain,2014,76.54,3.11906552299869
BHR,Bahrain,2015,76.67,3.45677616522085
BHR,Bahrain,2016,76.68,2.26113448176002
BHR,Bahrain,2017,76.82,2.96593300560123
BGD,Bangladesh,2007,62,0.753149910203678
BGD,Bangladesh,2008,63,0.713361247803541
BGD,Bangladesh,2009,64,0.718273146082427
BGD,Bangladesh,2010,66.14,0.772888563275989
BGD,Bangladesh,2011,66.56,0.736901918786568
BGD,Bangladesh,2012,68.63,0.696870936804637
BGD,Bangladesh,2013,68.94,0.683151347809434
BGD,Bangladesh,2014,70.29,0.693518459531565
BGD,Bangladesh,2015,70.69,0.656475495285599
BGD,Bangladesh,2016,71.63,0.719098680409775
BEL,Belgium,2007,78,0.14681958797389
BEL,Belgium,2007,78,6.47059679470576
BEL,Belgium,2007,78,0.0415576554265044
BEL,Belgium,2007,78,0.769165849385511
BEL,Belgium,2007,78,6.76208242268326
BEL,Belgium,2008,79,0.969943879320638
BEL,Belgium,2008,79,0.166116073713119
BEL,Belgium,2008,79,7.2924188751983
BEL,Belgium,2008,79,0.0438958099971001
BEL,Belgium,2008,79,6.97425954250559
BEL,Belgium,2009,80,0.209799897827536
BEL,Belgium,2009,80,7.46332326039836
BEL,Belgium,2009,80,0.0368571288383222
BEL,Belgium,2009,80,7.83527143529222
BEL,Belgium,2009,80,0.884167020229571
BEL,Belgium,2010,80.11,0.17651594426392
BEL,Belgium,2010,80.11,7.75576912485543
BEL,Belgium,2010,80.11,1.06933964862037
BEL,Belgium,2010,80.11,7.42358319105579
BEL,Belgium,2010,80.11,0.0350553505535055
BEL,Belgium,2011,80.63,0.0687558515618351
BEL,Belgium,2011,80.63,7.39940633245383
BEL,Belgium,2011,80.63,0.835576432036769
BEL,Belgium,2011,80.63,7.73650949016938
BEL,Belgium,2011,80.63,0.165758787981956
BEL,Belgium,2012,79.94,7.93611704538098
BEL,Belgium,2012,79.94,0.845109082669774
BEL,Belgium,2012,79.94,0.0633650547031786
BEL,Belgium,2012,79.94,0.170544442286528
BEL,Belgium,2012,79.94,7.59665954554282
BEL,Belgium,2013,80.49,0.174022602321319
BEL,Belgium,2013,80.49,0.855782936265526
BEL,Belgium,2013,80.49,8.01494094889025
BEL,Belgium,2013,80.49,7.67274994909387
BEL,Belgium,2013,80.49,0.0663561392791692
BEL,Belgium,2014,80.39,7.71399291322171
BEL,Belgium,2014,80.39,0.844557374120356
BEL,Belgium,2014,80.39,0.163100118112972
BEL,Belgium,2014,80.39,8.03200464511518
BEL,Belgium,2014,80.39,0.0466000337465633
BEL,Belgium,2015,80.39,0.823250188384025
BEL,Belgium,2015,80.39,0.99303579056496
BEL,Belgium,2015,80.39,0.0496997854581931
BEL,Belgium,2015,80.39,6.68129742597828
BEL,Belgium,2015,80.39,7.83279177925712
BEL,Belgium,2016,80.59,1.06365020867968
BEL,Belgium,2016,80.59,7.62379529627864
BEL,Belgium,2016,80.59,0.773358754664776
